MU,1303106,Nova Olinda do Norte (AM),37378,AM
MU,1303205,Novo Airão (AM),19454,AM
MU,1303304,Novo Aripuanã (AM),25644,AM
MU,1303403,Parintins (AM),114273,AM
MU,1303502,Pauini (AM),19426,AM
MU,1303536,Presidente Figueiredo (AM),36279,AM
MU,1303569,Rio Preto da Eva (AM),33347,AM
MU,1303601,Santa Isabel do Rio Negro (AM),25156,AM
MU,1303700,Santo Antônio do Içá (AM),21602,AM
MU,1303809,São Gabriel da Cachoeira (AM),45564,AM
MU,1303908,São Paulo de Olivença (AM),39299,AM
MU,1303957,São Sebastião do Uatumã (AM),14020,AM
MU,1304005,Silves (AM),9171,AM
MU,1304062,Tabatinga (AM),65844,AM
MU,1304104,Tapauá (AM),17156,AM
MU,1304203,Tefé (AM),59849,AM
MU,1304237,Tonantins (AM),18755,AM
MU,1304260,Uarini (AM),13540,AM
MU,1304302,Urucará (AM),16256,AM
MU,1304401,Urucurituba (AM),23065,AM
MU,1400027,Amajari (RR),12796,RR
MU,1400050,Alto Alegre (RR),15510,RR
MU,1400100,Boa Vista (RR),399213,RR
MU,1400159,Bonfim (RR),12409,RR
MU,1400175,Cantá (RR),18335,RR
MU,1400209,Caracaraí (RR),21926,RR
MU,1400233,Caroebe (RR),10169,RR
MU,1400282,Iracema (RR),11950,RR
MU,1400308,Mucajaí (RR),17853,RR
MU,1400407,Normandia (RR),11290,RR
MU,1400456,Pacaraima (RR),17401,RR
MU,1400472,Rorainópolis (RR),30163,RR
MU,1400506,São João da Baliza (RR),8201,RR
MU,1400605,São Luiz (RR),7986,RR
MU,1400704,Uiramutã (RR),10559,RR
MU,1500107,Abaetetuba (PA),157698,PA
MU,1500131,Abel Figueiredo (PA),7434,PA
MU,1500206,Acará (PA),55591,PA
MU,1500305,Afuá (PA),39218,PA
MU,1500347,Água Azul do Norte (PA),27430,PA
MU,1500404,Alenquer (PA),56789,PA
MU,1500503,Almeirim (PA),34109,PA
MU,1500602,Altamira (PA),114594,PA
MU,1500701,Anajás (PA),29277,PA
MU,1500800,Ananindeua (PA),530598,PA
MU,1500859,Anapu (PA),27890,PA
MU,1500909,Augusto Corrêa (PA),45998,PA
MU,1500958,Aurora do Pará (PA),31338,PA
MU,1501006,Aveiro (PA),16388,PA
MU,1501105,Bagre (PA),30673,PA
MU,1501204,Baião (PA),47446,PA
MU,1501253,Bannach (PA),3286,PA
MU,1501303,Barcarena (PA),124680,PA
MU,1501402,Belém (PA),1492745,PA
MU,1501451,Belterra (PA),17732,PA
MU,1501501,Benevides (PA),62737,PA
MU,1501576,Bom Jesus do Tocantins (PA),16981,PA
MU,1501600,Bonito (PA),16286,PA
MU,1501709,Bragança (PA),127686,PA
MU,1501725,Brasil Novo (PA),15086,PA
MU,1501758,Brejo Grande do Araguaia (PA),7380,PA
MU,1501782,Breu Branco (PA),66046,PA
MU,1501808,Breves (PA),102701,PA
MU,1501907,Bujaru (PA),29132,PA
MU,1501956,Cachoeira do Piriá (PA),33900,PA
MU,1502004,Cachoeira do Arari (PA),23767,PA
MU,1502103,Cametá (PA),137890,PA
MU,1502152,Canaã dos Carajás (PA),37085,PA
MU,1502202,Capanema (PA),69027,PA
MU,1502301,Capitão Poço (PA),54303,PA
MU,1502400,Castanhal (PA),200793,PA
MU,1502509,Chaves (PA),23717,PA
MU,1502608,Colares (PA),12085,PA
MU,1502707,Conceição do Araguaia (PA),47864,PA
MU,1502756,Concórdia do Pará (PA),33318,PA
MU,1502764,Cumaru do Norte (PA),13473,PA
MU,1502772,Curionópolis (PA),17929,PA
MU,1502806,Curralinho (PA),34448,PA
MU,1502855,Curuá (PA),14393,PA
MU,1502905,Curuçá (PA),40066,PA
MU,1502939,Dom Eliseu (PA),59719,PA
MU,1502954,Eldorado do Carajás (PA),33808,PA
MU,1503002,Faro (PA),7194,PA
MU,1503044,Floresta do Araguaia (PA),20304,PA
MU,1503077,Garrafão do Norte (PA),26066,PA
MU,1503093,Goianésia do Pará (PA),40475,PA
MU,1503101,Gurupá (PA),33376,PA
MU,1503200,Igarapé-Açu (PA),38807,PA
MU,1503309,Igarapé-Miri (PA),62698,PA
MU,1503408,Inhangapi (PA),11711,PA
MU,1503457,Ipixuna do Pará (PA),64053,PA
MU,1503507,Irituia (PA),32550,PA
MU,1503606,Itaituba (PA),101247,PA
MU,1503705,Itupiranga (PA),53269,PA
MU,1503754,Jacareacanga (PA),8239,PA
MU,1503804,Jacundá (PA),59155,PA
MU,1503903,Juruti (PA),57943,PA
MU,1504000,Limoeiro do Ajuru (PA),28935,PA
MU,1504059,Mãe do Rio (PA),30077,PA
MU,1504109,Magalhães Barata (PA),8548,PA
MU,1504208,Marabá (PA),279349,PA
MU,1504307,Maracanã (PA),29473,PA
MU,1504406,Marapanim (PA),28336,PA
MU,1504422,Marituba (PA),131521,PA
MU,1504455,Medicilândia (PA),31597,PA
MU,1504505,Melgaço (PA),27654,PA
MU,1504604,Mocajuba (PA),31136,PA
MU,1504703,Moju (PA),82094,PA
MU,1504752,Mojuí dos Campos (PA),16084,PA
MU,1504802,Monte Alegre (PA),58032,PA
MU,1504901,Muaná (PA),40349,PA
MU,1504950,Nova Esperança do Piriá (PA),21368,PA
MU,1504976,Nova Ipixuna (PA),16678,PA
MU,1505007,Nova Timboteua (PA),15363,PA
MU,1505031,Novo Progresso (PA),25762,PA
MU,1505064,Novo Repartimento (PA),75919,PA
MU,1505106,Óbidos (PA),52137,PA
MU,1505205,Oeiras do Pará (PA),32512,PA
MU,1505304,Oriximiná (PA),73096,PA
MU,1505403,Ourém (PA),17842,PA
MU,1505437,Ourilândia do Norte (PA),32832,PA
MU,1505486,Pacajá (PA),47706,PA
MU,1505494,Palestina do Pará (PA),7589,PA
MU,1505502,Paragominas (PA),113145,PA
MU,1505536,Parauapebas (PA),208273,PA
MU,1505551,Pau D'Arco (PA),5483,PA
MU,1505601,Peixe-Boi (PA),8077,PA
MU,1505635,Piçarra (PA),12981,PA
MU,1505650,Placas (PA),30982,PA
MU,1505700,Ponta de Pedras (PA),31082,PA
MU,1505809,Portel (PA),62043,PA
MU,1505908,Porto de Moz (PA),41135,PA
MU,1506005,Prainha (PA),29866,PA
MU,1506104,Primavera (PA),10825,PA
MU,1506112,Quatipuru (PA),13608,PA
MU,1506138,Redenção (PA),84787,PA
MU,1506161,Rio Maria (PA),18193,PA
MU,1506187,Rondon do Pará (PA),52357,PA
MU,1506195,Rurópolis (PA),50510,PA
MU,1506203,Salinópolis (PA),40675,PA
MU,1506302,Salvaterra (PA),23752,PA
MU,1506351,Santa Bárbara do Pará (PA),21079,PA
MU,1506401,Santa Cruz do Arari (PA),10128,PA
MU,1506500,Santa Izabel do Pará (PA),70801,PA
MU,1506559,Santa Luzia do Pará (PA),19848,PA
MU,1506583,Santa Maria das Barreiras (PA),21449,PA
MU,1506609,Santa Maria do Pará (PA),24861,PA
MU,1506708,Santana do Araguaia (PA),72817,PA
MU,1506807,Santarém (PA),304589,PA
MU,1506906,Santarém Novo (PA),6709,PA
MU,1507003,Santo Antônio do Tauá (PA),31482,PA
MU,1507102,São Caetano de Odivelas (PA),18050,PA
MU,1507151,São Domingos do Araguaia (PA),25557,PA
MU,1507201,São Domingos do Capim (PA),31989,PA
MU,1507300,São Félix do Xingu (PA),128481,PA
MU,1507409,São Francisco do Pará (PA),15882,PA
MU,1507458,São Geraldo do Araguaia (PA),24847,PA
MU,1507466,São João da Ponta (PA),6139,PA
MU,1507474,São João de Pirabas (PA),23045,PA
MU,1507508,São João do Araguaia (PA),13996,PA
MU,1507607,São Miguel do Guamá (PA),58986,PA
